Time,Latitude,Longitude,PM10,PM25,Humidity,Temperature
00.00. 00:00:00.00,69.647697,18.985963,20.1,5.7,99.9,1.1
00.00. 00:00:00.00,69.647697,18.98596,20,5.7,99.9,1.1
00.00. 00:00:00.00,69.647697,18.985912,20.7,5.5,99.9,1.1
00.00. 00:00:00.00,69.647689,18.985912,21.1,5.4,99.9,1.1
00.00. 00:00:00.00,69.647697,18.98591,21,5.4,99.9,1.1
00.00. 00:00:00.00,69.647697,18.98591,20.9,5.4,99.9,1.1
00.00. 00:00:00.00,69.647697,18.98591,20.7,5.4,99.9,1.1
00.00. 00:00:00.00,69.647689,18.985914,17.3,5.2,99.9,1.1
00.00. 00:00:00.00,69.647689,18.985916,13.6,5,99.9,1.1
00.00. 00:00:00.00,69.647689,18.985916,9.8,4.8,99.9,1.1
00.00. 00:00:00.00,69.647689,18.985918,9.8,4.7,99.9,1.1
00.00. 00:00:00.00,69.647697,18.986003,9.2,4.5,99.9,1.1
00.00. 00:00:00.00,69.647697,18.986007,9.1,4.5,99.9,1.1
00.00. 00:00:00.00,69.6482,18.998685,5.1,1.4,96.5,1.1
00.00. 00:00:00.00,69.648117,18.998519,4,1.4,96.8,1.1
00.00. 00:00:00.00,69.648109,18.998466,4,1.4,96.4,1.1
00.00. 00:00:00.00,69.648086,18.998191,4,1.4,96.7,1.1
00.00. 00:00:00.00,69.648109,18.998409,3.9,1.4,96.4,1.1
00.00. 00:00:00.00,69.648094,18.99826,3.9,1.4,96.5,1.1
00.00. 00:00:00.00,69.648101,18.998338,3.8,1.4,96.5,1.1
00.00. 00:00:00.00,69.648178,18.998645,5,1.3,96.4,1.1
00.00. 00:00:00.00,69.648193,18.998668,4.9,1.3,96.5,1.1
00.00. 00:00:00.00,69.648155,18.998603,4.7,1.3,96.4,1.1
00.00. 00:00:00.00,69.648132,18.998563,3.9,1.3,96.8,1.1
00.00. 00:00:00.00,69.648506,18.99987,6.1,1.2,94.8,1.1
00.00. 00:00:00.00,69.648437,18.999515,4.7,1.2,95.9,1.1
00.00. 00:00:00.00,69.648422,18.999486,4.6,1.2,95.9,1.1
00.00. 00:00:00.00,69.64849,18.999767,6.3,1.3,94.7,1
00.00. 00:00:00.00,69.64849,18.999803,6.2,1.3,94.7,1
00.00. 00:00:00.00,69.648475,18.999706,5.3,1.3,95,1
00.00. 00:00:00.00,69.648468,18.999671,4.9,1.3,95,1
00.00. 00:00:00.00,69.64846,18.999607,4.8,1.2,95.5,1
00.00. 00:00:00.00,69.648452,18.999576,4.8,1.2,95.5,1
00.00. 00:00:00.00,69.648071,18.986673,40.6,3,99.9,0.9
00.00. 00:00:00.00,69.648124,18.986577,30.5,2.4,99.9,0.9
00.00. 00:00:00.00,69.648132,18.98656,30.5,2.4,99.9,0.9
00.00. 00:00:00.00,69.648155,18.986557,29.1,2.3,99.9,0.9
00.00. 00:00:00.00,69.648094,18.986637,28.2,2.3,99.9,0.9
00.00. 00:00:00.00,69.648101,18.986619,28.1,2.3,99.9,0.9
00.00. 00:00:00.00,69.648094,18.986484,30.1,2.2,99.9,0.9
00.00. 00:00:00.00,69.648086,18.986471,30.1,2.2,99.9,0.9
00.00. 00:00:00.00,69.648117,18.986495,29.8,2.2,99.9,0.9
00.00. 00:00:00.00,69.647994,18.986232,29.7,2.2,99.9,0.9
00.00. 00:00:00.00,69.648124,18.986499,29.5,2.2,99.9,0.9
00.00. 00:00:00.00,69.647994,18.986162,29.4,2.2,99.9,0.9
00.00. 00:00:00.00,69.648147,18.986526,28.6,2.2,99.9,0.9
00.00. 00:00:00.00,69.648147,18.986539,28,2.2,99.9,0.9
00.00. 00:00:00.00,69.648155,18.986553,27.2,2.2,99.9,0.9
00.00. 00:00:00.00,69.648063,18.986448,29.9,2.1,99.9,0.9
00.00. 00:00:00.00,69.648056,18.986448,29.8,2.1,99.9,0.9
00.00. 00:00:00.00,69.64804,18.986442,29.7,2.1,99.9,0.9
00.00. 00:00:00.00,69.648033,18.986442,29.7,2.1,99.9,0.9
00.00. 00:00:00.00,69.648048,18.98674,40.6,3,99.9,0.8
00.00. 00:00:00.00,69.648056,18.986715,40.6,3,99.9,0.8
00.00. 00:00:00.00,69.647987,18.986377,29.9,2.2,99.9,0.8
00.00. 00:00:00.00,69.647987,18.986371,29.9,2.2,99.9,0.8
00.00. 00:00:00.00,69.647987,18.986293,29.9,2.2,99.9,0.8
00.00. 00:00:00.00,69.647987,18.986312,29.8,2.2,99.9,0.8
00.00. 00:00:00.00,69.647994,18.986091,29.4,2.2,99.9,0.8
00.00. 00:00:00.00,69.647994,18.986015,28.8,2.2,99.9,0.8
00.00. 00:00:00.00,69.647994,18.986366,29.9,2.1,99.9,0.8
00.00. 00:00:00.00,69.647987,18.986389,29.8,2.1,99.9,0.8
00.00. 00:00:00.00,69.647987,18.98636,29.8,2.1,99.9,0.8
00.00. 00:00:00.00,69.647987,18.986345,29.8,2.1,99.9,0.8
00.00. 00:00:00.00,69.647987,18.986406,29.7,2.1,99.9,0.8
00.00. 00:00:00.00,69.648025,18.986438,29.6,2.1,99.9,0.8
00.00. 00:00:00.00,69.648017,18.986433,29.6,2.1,99.9,0.8
00.00. 00:00:00.00,69.648002,18.986429,29.6,2.1,99.9,0.8
00.00. 00:00:00.00,69.647994,18.986429,29.6,2.1,99.9,0.8
00.00. 00:00:00.00,69.647972,18.985977,27.6,2.1,99.9,0.8
00.00. 00:00:00.00,69.648025,18.986774,25.5,2.1,99.9,0.8
00.00. 00:00:00.00,69.648017,18.986793,24.9,2.1,99.9,0.8
