New AIR:BIT Logging started
Time,Lat,Lon,Temp,Humi,PM10,PM25
Time,Lat,Lon,Temp,Humi,PM10,PM25
5.4.2018 11:1:53.0,69.645835,18.996402,8.00,26.90,0.70,0.70
5.4.2018 11:1:56.0,69.645820,18.996351,8.00,26.90,0.70,0.70
5.4.2018 11:1:59.0,69.645797,18.996301,8.00,26.90,0.70,0.70
5.4.2018 11:2:2.0,69.645782,18.996244,8.00,26.90,0.70,0.70
5.4.2018 11:2:5.0,69.645767,18.996204,8.00,26.90,0.70,0.70
5.4.2018 11:2:8.0,69.645751,18.996156,8.00,27.00,0.70,0.70
5.4.2018 11:2:11.0,69.645729,18.996095,8.00,27.10,0.70,0.70
5.4.2018 11:2:14.0,69.645713,18.996038,8.00,27.00,0.70,0.70
5.4.2018 11:2:17.0,69.645698,18.995973,8.00,27.00,0.70,0.70
5.4.2018 11:2:20.0,69.645683,18.995914,7.90,26.90,0.70,0.70
5.4.2018 11:2:23.0,69.645660,18.995859,7.90,26.90,0.70,0.70
5.4.2018 11:2:26.0,69.645645,18.995800,7.80,26.90,0.70,0.70
5.4.2018 11:2:29.0,69.645629,18.995756,7.80,27.10,0.70,0.70
5.4.2018 11:2:32.0,69.645614,18.995697,7.80,27.20,0.70,0.70
5.4.2018 11:2:35.0,69.645599,18.995655,7.80,27.20,0.80,0.80
5.4.2018 11:2:38.0,69.645584,18.995611,7.80,27.20,0.80,0.80
5.4.2018 11:2:41.0,69.645561,18.995557,7.90,27.40,0.80,0.80
5.4.2018 11:2:44.0,69.645545,18.995504,7.90,27.40,0.80,0.80
5.4.2018 11:2:47.0,69.645530,18.995450,7.90,27.40,0.80,0.80
5.4.2018 11:2:50.0,69.645515,18.995401,8.00,27.50,0.80,0.80
5.4.2018 11:2:53.0,69.645500,18.995346,8.00,27.50,0.80,0.80
5.4.2018 11:2:56.0,69.645484,18.995296,7.80,27.30,0.80,0.80
5.4.2018 11:2:59.0,69.645469,18.995260,7.80,27.40,0.80,0.80
5.4.2018 11:3:2.0,69.645446,18.995212,7.90,27.40,0.90,0.90
5.4.2018 11:3:5.0,69.645439,18.995227,7.90,27.40,0.90,0.90
5.4.2018 11:3:8.0,69.645423,18.995199,7.70,27.40,0.90,0.90
5.4.2018 11:3:11.0,69.645408,18.995117,7.70,27.40,0.90,0.90
5.4.2018 11:3:14.0,69.645385,18.995023,7.80,27.50,0.80,0.80
5.4.2018 11:3:17.0,69.645362,18.994947,7.80,27.50,0.80,0.80
5.4.2018 11:3:20.0,69.645347,18.994855,7.80,27.50,0.80,0.80
5.4.2018 11:3:23.0,69.645339,18.994768,7.80,27.50,0.80,0.80
5.4.2018 11:3:26.0,69.645347,18.994636,7.90,27.60,0.80,0.80
5.4.2018 11:3:29.0,69.645362,18.994539,7.90,27.60,0.80,0.80
5.4.2018 11:3:32.0,69.645362,18.994424,7.90,27.60,0.80,0.80
5.4.2018 11:3:35.0,69.645355,18.994300,7.90,27.50,0.80,0.80
5.4.2018 11:3:38.0,69.645355,18.994180,7.90,27.50,0.80,0.80
5.4.2018 11:3:41.0,69.645370,18.994096,7.90,27.50,0.80,0.80
5.4.2018 11:3:44.0,69.645370,18.993986,8.00,27.50,0.80,0.80
5.4.2018 11:3:47.0,69.645362,18.993875,8.00,27.50,0.80,0.80
5.4.2018 11:3:50.0,69.645355,18.993770,8.00,27.50,0.90,0.90
5.4.2018 11:3:53.0,69.645347,18.993701,8.00,27.50,1.00,0.90
5.4.2018 11:3:56.0,69.645355,18.993669,8.00,27.60,1.00,0.90
5.4.2018 11:3:59.0,69.645355,18.993642,8.00,27.60,1.00,0.90
5.4.2018 11:4:2.0,69.645362,18.993581,8.00,27.60,1.00,0.90
5.4.2018 11:4:5.0,69.645370,18.993572,8.00,27.70,1.00,0.90
Time,Lat,Lon,Temp,Humi,PM10,PM25
Time,Lat,Lon,Temp,Humi,PM10,PM25
5.4.2018 11:18:5.0,69.647750,18.995637,12.10,24.80,0.70,0.70
5.4.2018 11:18:8.0,69.647773,18.995460,11.10,24.60,0.60,0.60
5.4.2018 11:18:11.0,69.647804,18.995494,11.00,24.60,0.60,0.60
5.4.2018 11:18:14.0,69.647842,18.995529,11.00,24.80,0.60,0.60
5.4.2018 11:18:17.0,69.647850,18.995546,11.10,25.20,0.60,0.60
5.4.2018 11:18:20.0,69.647834,18.995439,11.10,24.90,0.60,0.60
5.4.2018 11:18:23.0,69.647834,18.995618,11.10,24.70,0.60,0.60
5.4.2018 11:18:27.0,69.647850,18.996116,11.00,24.60,0.60,0.60
5.4.2018 11:18:31.0,69.647880,18.996135,11.00,24.40,0.60,0.60
5.4.2018 11:18:36.0,69.647895,18.996112,10.90,24.30,0.60,0.60
5.4.2018 11:18:41.0,69.647941,18.996778,10.90,24.30,0.60,0.60
5.4.2018 11:18:46.0,69.647941,18.996831,11.00,24.60,0.70,0.70
5.4.2018 11:18:51.0,69.647956,18.996686,11.00,25.00,0.90,0.80
5.4.2018 11:18:56.0,69.647979,18.996849,11.00,24.90,0.90,0.80
5.4.2018 11:19:1.0,69.648002,18.997009,10.90,24.50,0.80,0.80
5.4.2018 11:19:6.0,69.648017,18.997165,10.90,24.30,0.90,0.80
5.4.2018 11:19:11.0,69.648025,18.997304,10.80,24.30,0.90,0.80
5.4.2018 11:19:16.0,69.648056,18.997463,10.70,24.30,0.90,0.80
